Через;PREP
Полчаса;GRND
Продрогший;ADJF
Олег;NOUN
Пробирался;VERB
К;PREP
Снежане;NOUN
Луна;NOUN
Светила;VERB
В;PREP
Окно;NOUN
Олег;NOUN
Дрожал;VERB
Как;CONJ
Цуцик;NOUN
У;PREP
Него;NPRO
Зуб;NOUN
На;PREP
Зуб;NOUN
Не;PRCL
Попадал;VERB
В;PREP
Баку;NOUN
Проводилась;VERB
Всемирная;ADJF
Конференция;NOUN
Кардиологов;NOUN
Под;PREP
Названием;NOUN
Евразия;NOUN
Сьезжались;VERB
Светила;NOUN
Со;PREP
Всего;ADJF
Мира;NOUN
В;PREP
Те;ADJF
Времена;NOUN
Особенно;ADVB
В;PREP
Маленьком;ADJF
Городишке;NOUN
Приезжий;ADJF
Иностранец;NOUN
Обязательно;ADVB
Считался;VERB
Миллионером;NOUN
Но;CONJ
Приезжий;NOUN
В;PREP
Брезгливом;ADJF
Ужасе;NOUN
Отшатнулся;VERB
От;PREP
Слесаря;NOUN
Желая;GRND
Избавить;VERB
Людей;NOUN
От;PREP
Тайной;ADJF
И;CONJ
Могущественной;ADJF
Армии;NOUN
Вампиров;NOUN
Заполнившей;PRTF
Общество;NOUN
Он;NPRO
Отправляется;VERB
На;PREP
Решающий;ADJF
Бой;NOUN
Но;CONJ
Связывает;VERB
Нежной;ADJF
Тайной;NOUN
Голос;NOUN
Задрожал;VERB
Стих;VERB
А;CONJ
Потом;ADVB
И;CONJ
Оборвался;VERB
Кино;NOUN
Делает;VERB
Скачки;NOUN
От;PREP
Кадра;NOUN
К;PREP
Кадру;NOUN
Как;CONJ
Стих;NOUN
От;PREP
Строчки;NOUN
К;PREP
Строчке;NOUN
Сергей;NOUN
Мечтает;VERB
Стать;VERB
Известным;ADJF
Музыкантом;NOUN
Оля;NOUN
Мечтает;VERB
О;PREP
Красивой;ADJF
Жизни;NOUN
Девка;NOUN
Из;PREP
Себя;NPRO
Особенная;ADJF
Такая;ADJF
Стать;NOUN
Нашего;ADJF
Брата;NOUN
Всегда;ADVB
Манит;VERB
Все;ADJF
Они;NPRO
Посвящены;PRTF
Автором;NOUN
Дорогой;ADJF
Матери;NOUN
Перед;ADVB
Дорогой;NOUN
Надо;VERB
Было;VERB
Хорошо;ADVB
Поесть;VERB
Говорит;VERB
Попугай;NOUN
Попугаю;VERB
Я;NPRO
Тебя;NPRO
Попугай;NOUN
Попугаю;VERB
Стекло;NOUN
Значительно;ADVB
Хуже;ADJF
Поглощает;VERB
Звуковые;ADJF
Волны;NOUN
Чем;CONJ
Воздух;NOUN
На;PREP
Оконное;ADJF
Стекло;NOUN
Стелко;VERB
Несколько;ADVB
Капель;NOUN
Дождя;NOUN
Печь;NOUN
Ванюкова;NOUN
Способна;ADJF
Переплавить;VERB
Что;CONJ
Угодно;ADJF
Единственное;ADJF
Чего;NPRO
Не;PRCL
Умею;VERB
Печь;VERB
Пироги;NOUN
И;CONJ
Торты;NOUN
С;PREP
Каждым;ADJF
Годом;NOUN
Увеличивается;VERB
Число;NOUN
Буровых;ADJF
Вышек;NOUN
Которые;ADJF
Бурят;VERB
Сюда;ADVB
Их;NPRO
Привлекает;VERB
Байкал;NOUN
Деревянная;ADJF
Архитектура;NOUN
Иркутска;NOUN
А;CONJ
Также;CONJ
Места;NOUN
Компактного;ADJF
Проживания;NOUN
Бурят;NOUN
Все;NPRO
Кругом;ADVB
Казалось;VERB
Было;VERB
Из;PREP
Золота;NOUN
Сразу;ADVB
Же;CONJ
За;PREP
Северным;ADJF
Полярным;ADJF
Кругом;NOUN
В;PREP
Рованиеми;NOUN
Начинается;VERB
Загадочная;ADJF
Страна;NOUN
Древнего;ADJF
Финского;ADJF
Народа;NOUN
Саамов;NOUN
